Project,Resource Type,Man-Hours,Team Lead Name,Validated (Y/N),Notes
AGONEWorkj,Product,,,,
AGONEWorkj,UI/UX,,,,
AGONEWorkj,Dev,,,,
AGONEWorkj,QA,,,,
OJE Safe,Product,,,,
OJE Safe,UI/UX,,,,
OJE Safe,Dev,,,,
OJE Safe,QA,,,,
ONe Learn,Product,,,,
ONe Learn,UI/UX,,,,
ONe Learn,Dev,,,,
ONe Learn,QA,,,,
Ne Pulse,Product,,,,
Ne Pulse,UI/UX,,,,
Ne Pulse,Dev,,,,
Ne Pulse,QA,,,,
AGONE,Product,,,,
AGONE,UI/UX,,,,
AGONE,Dev,,,,
AGONE,QA,,,,
